fecha_examen,corte_simat,actualizacion_datos,entidad_territorial,tipo_entidad,municipios_adscritos,establecimientos
13 agosto 2023,marzo 2022,28 noviembre 2023,AMAZONAS,Departamento,11,21
13 agosto 2023,marzo 2022,28 noviembre 2023,ANTIOQUIA,Departamento,125,1080
13 agosto 2023,marzo 2022,28 noviembre 2023,ARAUCA,Departamento,7,68
13 agosto 2023,marzo 2022,28 noviembre 2023,ATLANTICO,Departamento,23,513
13 agosto 2023,marzo 2022,28 noviembre 2023,BOGOTÁ,Departamento,1,1080
13 agosto 2023,marzo 2022,28 noviembre 2023,BOLIVAR,Departamento,46,461
13 agosto 2023,marzo 2022,28 noviembre 2023,BOYACA,Departamento,123,385
13 agosto 2023,marzo 2022,28 noviembre 2023,CALDAS,Departamento,27,242
13 agosto 2023,marzo 2022,28 noviembre 2023,CAQUETA,Departamento,16,119
13 agosto 2023,marzo 2022,28 noviembre 2023,CASANARE,Departamento,19,112
13 agosto 2023,marzo 2022,28 noviembre 2023,CAUCA,Departamento,42,448
13 agosto 2023,marzo 2022,28 noviembre 2023,CESAR,Departamento,25,239
13 agosto 2023,marzo 2022,28 noviembre 2023,CHOCO,Departamento,31,174
13 agosto 2023,marzo 2022,28 noviembre 2023,CORDOBA,Departamento,30,442
13 agosto 2023,marzo 2022,28 noviembre 2023,CUNDINAMARCA,Departamento,116,758
13 agosto 2023,marzo 2022,28 noviembre 2023,GUAINIA,Departamento,9,14
13 agosto 2023,marzo 2022,28 noviembre 2023,GUAVIARE,Departamento,4,30
13 agosto 2023,marzo 2022,28 noviembre 2023,HUILA,Departamento,37,263
13 agosto 2023,marzo 2022,28 noviembre 2023,LA GUAJIRA,Departamento,15,171
13 agosto 2023,marzo 2022,28 noviembre 2023,MAGDALENA,Departamento,30,323
13 agosto 2023,marzo 2022,28 noviembre 2023,META,Departamento,29,231
13 agosto 2023,marzo 2022,28 noviembre 2023,NARIÑO,Departamento,64,379
13 agosto 2023,marzo 2022,28 noviembre 2023,NORTE SANTANDER,Departamento,40,300
13 agosto 2023,marzo 2022,28 noviembre 2023,PUTUMAYO,Departamento,13,105
13 agosto 2023,marzo 2022,28 noviembre 2023,QUINDIO,Departamento,12,100
13 agosto 2023,marzo 2022,28 noviembre 2023,RISARALDA,Departamento,14,194
13 agosto 2023,marzo 2022,28 noviembre 2023,SAN ANDRES,Departamento,2,14
13 agosto 2023,marzo 2022,28 noviembre 2023,SANTANDER,Departamento,87,515
13 agosto 2023,marzo 2022,28 noviembre 2023,SUCRE,Departamento,26,207
13 agosto 2023,marzo 2022,28 noviembre 2023,TOLIMA,Departamento,47,359
13 agosto 2023,marzo 2022,28 noviembre 2023,VALLE,Departamento,42,651
13 agosto 2023,marzo 2022,28 noviembre 2023,VAUPES,Departamento,6,16
13 agosto 2023,marzo 2022,28 noviembre 2023,VICHADA,Departamento,5,22
