fecha_examen,corte_simat,actualizacion_datos,entidad_territorial,tipo_entidad,municipios_adscritos
13 agosto 2023,marzo 2022,28 noviembre 2023,AMAZONAS,Secretaría de Educación,10
13 agosto 2023,marzo 2022,28 noviembre 2023,ANTIOQUIA,Secretaría de Educación,116
13 agosto 2023,marzo 2022,28 noviembre 2023,APARTADO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,ARAUCA,Secretaría de Educación,7
13 agosto 2023,marzo 2022,28 noviembre 2023,ARMENIA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,ATLANTICO,Secretaría de Educación,20
13 agosto 2023,marzo 2022,28 noviembre 2023,BARRANCABERMEJA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,BARRANQUILLA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,BELLO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,BOGOTA,Secretaría de Educación,2
13 agosto 2023,marzo 2022,28 noviembre 2023,BOLIVAR,Secretaría de Educación,44
13 agosto 2023,marzo 2022,28 noviembre 2023,BOYACA,Secretaría de Educación,121
13 agosto 2023,marzo 2022,28 noviembre 2023,BUCARAMANGA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,BUENAVENTURA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,BUGA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,CALDAS,Secretaría de Educación,26
04 septiembre 2022,marzo 2022,22 diciembre 2022,CALI,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,CAQUETA,Secretaría de Educación,15
13 agosto 2023,marzo 2022,28 noviembre 2023,CARTAGENA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,CARTAGO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,CASANARE,Secretaría de Educación,19
13 agosto 2023,marzo 2022,28 noviembre 2023,CAUCA,Secretaría de Educación,41
13 agosto 2023,marzo 2022,28 noviembre 2023,CESAR,Secretaría de Educación,24
13 agosto 2023,marzo 2022,28 noviembre 2023,CHIA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,CHOCO,Secretaría de Educación,31
13 agosto 2023,marzo 2022,28 noviembre 2023,CIENAGA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,CORDOBA,Secretaría de Educación,27
13 agosto 2023,marzo 2022,28 noviembre 2023,CUCUTA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,CUNDINAMARCA,Secretaría de Educación,110
13 agosto 2023,marzo 2022,28 noviembre 2023,DOS QUEBRADAS,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,DUITAMA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,ENVIGADO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,FACATATIVA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,FLORENCIA,Secretaría de Educación,1
13 agosto 2023,marzo 2022,28 noviembre 2023,FLORIDABLANCA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,FUNZA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,FUSAGASUGA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,GIRARDOT,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,GIRON,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,GUAINIA,Secretaría de Educación,9
13 agosto 2023,marzo 2022,28 noviembre 2023,GUAVIARE,Secretaría de Educación,5
13 agosto 2023,marzo 2022,28 noviembre 2023,HUILA,Secretaría de Educación,36
13 agosto 2023,marzo 2022,28 noviembre 2023,IBAGUE,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,IPIALES,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,ITAGUI,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,JAMUNDI,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,LA ESTRELLA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,LA GUAJIRA,Secretaría de Educación,12
13 agosto 2023,marzo 2022,28 noviembre 2023,LORICA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,MAGANGUE,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,MAGDALENA,Secretaría de Educación,28
13 agosto 2023,marzo 2022,28 noviembre 2023,MAICAO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,MALAMBO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,MANIZALES,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,MEDELLIN,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,META,Secretaría de Educación,29
13 agosto 2023,marzo 2022,28 noviembre 2023,MONTERIA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,MOSQUERA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,NARIÑO,Secretaría de Educación,62
13 agosto 2023,marzo 2022,28 noviembre 2023,NEIVA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,NORTE DE SANTANDER,Secretaría de Educación,39
13 agosto 2023,marzo 2022,28 noviembre 2023,PALMIRA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,PASTO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,PEREIRA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,PIEDECUESTA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,PITALITO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,POPAYAN,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,PUTUMAYO,Secretaría de Educación,13
13 agosto 2023,marzo 2022,28 noviembre 2023,QUIBDO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,QUINDIO,Secretaría de Educación,11
13 agosto 2023,marzo 2022,28 noviembre 2023,RIOHACHA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,RIONEGRO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,RISARALDA,Secretaría de Educación,12
13 agosto 2023,marzo 2022,28 noviembre 2023,SABANETA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,SAHAGUN,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,SAN ANDRES,Secretaría de Educación,2
13 agosto 2023,marzo 2022,28 noviembre 2023,SANTA MARTA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,SANTANDER,Secretaría de Educación,83
13 agosto 2023,marzo 2022,28 noviembre 2023,SINCELEJO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,SOACHA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,SOGAMOSO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,SOLEDAD,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,SUCRE,Secretaría de Educación,25
13 agosto 2023,marzo 2022,28 noviembre 2023,TOLIMA,Secretaría de Educación,46
13 agosto 2023,marzo 2022,28 noviembre 2023,TULUA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,TUMACO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,TUNJA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,TURBO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,URIBIA,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,VALLE DEL CAUCA,Secretaría de Educación,34
13 agosto 2023,marzo 2022,28 noviembre 2023,VALLEDUPAR,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,VAUPES,Secretaría de Educación,5
13 agosto 2023,marzo 2022,28 noviembre 2023,VICHADA,Secretaría de Educación,4
13 agosto 2023,marzo 2022,28 noviembre 2023,VILLAVICENCIO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,YOPAL,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,YUMBO,Secretaría de Educación,
13 agosto 2023,marzo 2022,28 noviembre 2023,ZIPAQUIRA,Secretaría de Educación,
